pair,count
"('に', 'の')",733
"('の', 'は')",628
"('て', 'の')",620
"('の', 'を')",531
"('と', 'の')",514
"('て', 'に')",455
"('の', 'の')",455
"('の', '猫')",453
"('で', 'の')",448
"('に', 'は')",433
"('が', 'の')",419
"('て', 'は')",399
"('と', 'に')",381
"('て', 'を')",381
"('て', 'と')",380
"('に', 'を')",363
"('と', 'は')",340
"('は', '猫')",332
"('た', 'の')",325
"('は', 'を')",323
"('と', 'を')",318
"('で', 'は')",315
"('に', '猫')",312
"('が', 'に')",310
"('の', 'も')",294
"('が', 'は')",285
"('て', 'で')",283
"('で', 'に')",281
"('て', '猫')",280
"('が', 'て')",269
"('と', '猫')",264
"('で', 'と')",261
"('が', 'と')",245
"('を', '猫')",245
"('で', 'を')",233
"('た', 'は')",231
"('で', '猫')",227
"('に', 'も')",227
"('た', 'に')",226
"('て', 'も')",225
"('に', 'に')",224
"('た', 'て')",221
"('ある', 'の')",219
"('し', 'の')",218
"('が', '猫')",210
"('と', 'も')",209
"('が', 'を')",208
"('ない', 'の')",208
"('が', 'で')",202
"('た', 'を')",202
"('は', 'も')",201
"('た', 'と')",199
"('し', 'て')",188
"('が', 'た')",178
"('て', 'て')",175
"('も', 'を')",175
"('は', 'は')",172
"('から', 'の')",167
"('ない', 'は')",165
"('で', 'も')",165
"('し', 'を')",165
"('が', 'も')",164
"('か', 'の')",161
"('も', '猫')",159
"('な', 'の')",159
"('ある', 'に')",158
"('た', 'で')",156
"('ある', 'は')",155
"('と', 'と')",154
"('し', 'に')",154
"('だ', 'の')",147
"('し', 'は')",146
"('し', 'と')",140
"('の', '事')",139
"('ない', 'に')",138
"('ある', 'て')",138
"('た', '猫')",137
"('を', 'を')",135
"('ある', 'で')",134
"('ある', 'と')",132
"('の', '吾輩')",131
"('な', 'に')",129
"('ある', 'を')",126
"('て', 'ない')",124
"('から', 'は')",120
"('ある', '猫')",118
"('だ', 'は')",117
"('た', 'も')",116
"('と', 'ない')",115
"('し', '猫')",114
"('は', '事')",112
"('の', '人間')",109
"('は', '吾輩')",108
"('から', 'て')",108
"('ない', '猫')",107
"('だ', 'て')",106
"('な', 'は')",106
"('が', 'ない')",105
"('で', 'ない')",103
"('ない', 'を')",103
"('から', 'に')",103
"('から', 'と')",102
"('か', 'に')",101
"('ある', 'が')",99
"('か', 'て')",99
"('か', 'は')",98
"('か', 'が')",96
"('だ', 'に')",95
"('し', 'で')",94
"('が', 'し')",94
"('に', '事')",93
"('だ', '猫')",92
"('の', 'もの')",92
"('て', 'な')",92
"('と', 'な')",90
"('が', 'な')",90
"('て', '事')",89
"('いる', 'の')",89
"('の', '一')",89
"('に', '吾輩')",88
"('の', '云う')",88
"('で', 'で')",87
"('する', 'の')",87
"('だ', 'と')",86
"('だ', 'を')",84
"('し', 'た')",84
"('から', 'が')",84
"('が', 'が')",83
"('ない', 'も')",82
"('に', 'もの')",82
"('から', 'た')",82
"('に', '人間')",82
"('か', 'を')",81
"('を', '事')",81
"('て', 'もの')",80
"('いる', 'て')",80
"('から', 'で')",80
"('と', '吾輩')",78
"('から', 'を')",77
"('と', '事')",76
"('て', '吾輩')",76
"('の', 'よう')",76
"('な', '猫')",76
"('で', 'な')",76
"('と', '云う')",75
"('て', '人間')",75
"('な', 'を')",75
"('ある', 'も')",74
"('の', 'ん')",74
"('に', 'ん')",74
"('は', '人間')",74
"('か', 'た')",73
"('から', '猫')",73
"('し', 'も')",72
"('を', '吾輩')",71
"('か', '猫')",71
